gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,associate's degree,standard,completed,82,83,82
male,group C,high school,standard,completed,80,76,72
male,group C,some college,standard,none,71,65,60
female,group C,some high school,standard,completed,73,91,90
male,group E,some high school,standard,none,88,79,74
female,group B,master's degree,free/reduced,none,67,79,83
female,group B,master's degree,free/reduced,none,46,57,56
female,group C,some college,standard,none,59,67,67
male,group C,some high school,standard,none,67,54,55
female,group A,high school,standard,completed,41,67,66
male,group E,some college,free/reduced,completed,75,70,72
female,group C,bachelor's degree,standard,completed,82,91,95
female,group B,associate's degree,standard,completed,82,100,100
female,group C,some high school,standard,none,71,74,73
male,group E,some college,standard,none,80,68,71
female,group C,associate's degree,free/reduced,none,65,69,70
male,group E,associate's degree,standard,none,100,85,94
male,group C,some college,standard,none,62,54,51
female,group B,some high school,standard,none,60,69,66
female,group C,associate's degree,standard,none,58,63,69
female,group E,bachelor's degree,standard,completed,94,100,100
female,group A,high school,standard,completed,73,83,81
female,group C,associate's degree,free/reduced,none,78,82,80
male,group C,associate's degree,free/reduced,none,51,59,55
female,group E,some college,standard,none,96,100,100
female,group C,some high school,standard,none,72,89,91
male,group D,master's degree,free/reduced,completed,78,80,77
female,group B,bachelor's degree,free/reduced,none,54,68,68
female,group C,associate's degree,standard,none,77,85,83
male,group B,some high school,standard,completed,60,56,55
female,group C,master's degree,free/reduced,none,67,81,79
male,group E,high school,standard,completed,92,79,79
male,group B,high school,free/reduced,none,50,37,43
male,group B,associate's degree,standard,none,76,70,71
female,group E,some college,standard,none,69,71,68
male,group C,master's degree,free/reduced,completed,49,44,46
female,group A,some high school,free/reduced,completed,43,53,55
male,group B,associate's degree,standard,none,76,70,67
female,group C,bachelor's degree,standard,completed,57,68,70
male,group B,some high school,standard,completed,80,85,84
female,group C,some college,standard,none,59,67,66
male,group C,associate's degree,standard,completed,72,74,71
female,group C,associate's degree,standard,none,67,79,79
female,group C,some high school,free/reduced,none,37,42,44
male,group B,associate's degree,free/reduced,completed,78,80,81
female,group A,high school,standard,none,57,60,63
female,group D,bachelor's degree,standard,none,81,86,89
male,group E,bachelor's degree,standard,completed,90,81,82
female,group B,some college,free/reduced,none,68,73,66
female,group C,master's degree,standard,completed,97,100,100
male,group B,some high school,free/reduced,none,73,62,61
female,group C,some college,standard,none,76,91,94
female,group D,high school,free/reduced,none,49,50,52
male,group C,bachelor's degree,standard,none,95,98,96
female,group C,associate's degree,standard,completed,76,78,80
male,group C,high school,standard,none,72,76,69
male,group B,high school,standard,completed,60,56,56
female,group C,high school,free/reduced,completed,67,80,77
female,group C,some college,standard,none,62,72,72
male,group A,master's degree,standard,completed,60,60,61
male,group D,some college,standard,none,76,66,67
male,group E,bachelor's degree,standard,none,95,86,83
male,group D,some college,free/reduced,none,63,65,60
female,group D,high school,free/reduced,completed,51,65,71
male,group E,master's degree,free/reduced,none,100,83,88
female,group B,high school,free/reduced,none,51,66,67
female,group E,high school,standard,none,64,65,67
male,group B,high school,standard,none,73,61,57
male,group D,some high school,free/reduced,none,40,31,40
male,group D,bachelor's degree,standard,completed,82,74,83
female,group D,high school,free/reduced,none,59,71,73
male,group B,master's degree,free/reduced,completed,72,86,82
female,group D,some college,standard,none,53,66,71
female,group D,bachelor's degree,free/reduced,none,53,49,58
female,group B,some college,standard,completed,55,73,77
female,group D,associate's degree,standard,completed,73,77,80
female,group B,some college,standard,completed,52,58,67
male,group C,some high school,standard,none,88,77,75
female,group C,some high school,standard,completed,42,63,60
female,group E,some college,standard,none,94,92,94
male,group C,some college,standard,none,69,61,55
female,group C,high school,standard,none,62,75,72
male,group B,some high school,standard,none,55,58,53
male,group D,some college,standard,completed,87,82,79
female,group E,bachelor's degree,standard,none,86,84,86
male,group D,some college,standard,none,71,67,62
female,group C,some high school,standard,none,45,59,52
female,group D,high school,standard,none,65,83,83
male,group E,some college,standard,none,82,81,78
male,group C,associate's degree,free/reduced,completed,89,94,87
male,group E,some high school,standard,none,66,55,55
male,group E,some college,standard,none,79,68,67
male,group D,bachelor's degree,free/reduced,none,61,53,63
female,group B,high school,free/reduced,none,31,43,40
male,group C,associate's degree,standard,none,76,75,70
male,group C,high school,standard,completed,76,70,70
male,group C,some high school,standard,none,60,67,67
male,group D,associate's degree,free/reduced,completed,57,43,42
male,group B,high school,standard,completed,85,80,83
female,group C,bachelor's degree,standard,completed,77,85,85
female,group B,some college,standard,none,79,81,80
female,group C,master's degree,standard,completed,49,59,63
male,group D,high school,standard,none,71,59,59
female,group C,associate's degree,standard,none,75,82,81
male,group B,associate's degree,standard,completed,75,72,70
female,group C,high school,standard,none,93,94,91
female,group C,master's degree,standard,completed,79,97,95
male,group E,high school,standard,none,74,70,62
female,group C,associate's degree,free/reduced,none,46,52,50
female,group C,associate's degree,standard,none,79,100,96
female,group B,high school,standard,completed,70,76,76
male,group E,bachelor's degree,free/reduced,none,77,80,77
female,group D,some high school,free/reduced,none,68,74,76
male,group C,associate's degree,free/reduced,completed,72,73,74
female,group B,associate's degree,free/reduced,none,44,59,54
male,group D,some college,standard,none,45,52,51
male,group B,some college,standard,none,67,65,66
male,group D,bachelor's degree,free/reduced,none,42,57,51
female,group C,high school,standard,completed,75,83,83
female,group D,associate's degree,free/reduced,completed,81,92,93
female,group B,associate's degree,standard,none,91,89,86
male,group C,high school,free/reduced,none,41,42,42
male,group C,bachelor's degree,standard,completed,77,74,76
female,group B,associate's degree,free/reduced,none,58,68,64
female,group C,some college,free/reduced,completed,55,66,66
female,group E,associate's degree,free/reduced,none,77,80,74
female,group C,some college,standard,none,70,79,72
female,group D,some college,standard,completed,57,75,80
female,group C,associate's degree,free/reduced,none,62,79,77
male,group B,some college,standard,completed,85,80,82
male,group B,associate's degree,standard,none,80,74,76
female,group C,bachelor's degree,standard,none,75,82,79
female,group E,bachelor's degree,standard,none,75,76,83
female,group D,high school,standard,none,54,65,64
female,group E,some college,standard,completed,74,81,80
female,group C,high school,standard,completed,60,61,66
male,group C,some college,standard,none,68,74,73
female,group C,some high school,standard,none,52,65,63
male,group C,associate's degree,standard,completed,72,73,73
male,group E,some college,standard,completed,68,52,61
female,group D,some college,standard,completed,76,84,87
female,group B,associate's degree,standard,none,82,86,88
male,group C,some high school,standard,none,52,53,50
female,group E,some college,standard,completed,61,76,76
male,group D,high school,standard,none,70,73,65
male,group E,master's degree,free/reduced,none,64,55,44
female,group D,high school,standard,completed,93,100,100
female,group C,bachelor's degree,standard,none,49,52,60
male,group B,some college,standard,none,52,49,43
female,group A,bachelor's degree,free/reduced,completed,50,63,60
male,group C,associate's degree,free/reduced,none,46,45,46
male,group A,high school,free/reduced,none,54,46,43
female,group A,some college,standard,none,84,94,84
male,group A,bachelor's degree,standard,none,98,94,86
male,group E,some high school,free/reduced,none,64,53,45
male,group D,bachelor's degree,standard,completed,74,80,80
female,group D,some high school,standard,none,83,79,78
female,group C,high school,standard,completed,76,74,79
male,group D,bachelor's degree,standard,none,94,88,86
female,group B,master's degree,standard,completed,92,94,95
female,group C,some college,free/reduced,none,61,70,67
female,group B,high school,free/reduced,none,53,62,52
female,group E,associate's degree,standard,none,66,67,68
male,group D,associate's degree,standard,none,70,66,69
female,group B,some college,standard,none,50,62,59
female,group B,some college,free/reduced,completed,55,79,76
female,group D,high school,standard,none,80,84,79
female,group C,high school,free/reduced,none,47,53,53
male,group E,high school,free/reduced,completed,74,70,68
male,group C,some college,standard,none,79,72,72
female,group D,high school,standard,completed,67,68,74
male,group C,bachelor's degree,free/reduced,none,61,62,58
male,group C,some high school,standard,completed,59,58,50
male,group B,some high school,standard,none,70,72,66
female,group B,some college,standard,none,61,63,64
male,group B,some high school,standard,none,40,36,39
male,group C,some high school,standard,none,88,86,79
male,group C,associate's degree,free/reduced,none,39,41,40
female,group D,high school,standard,completed,45,57,55
female,group C,some college,standard,none,62,74,70
male,group C,associate's degree,standard,completed,76,74,79
male,group C,some high school,standard,completed,59,58,64
male,group B,some high school,free/reduced,completed,59,60,58
male,group C,associate's degree,standard,none,61,51,51
male,group E,associate's degree,free/reduced,none,58,42,40
female,group B,high school,free/reduced,completed,76,81,89
female,group E,some high school,standard,completed,88,82,79
female,group B,some college,free/reduced,none,52,78,73
male,group B,high school,standard,none,70,70,58
female,group E,bachelor's degree,standard,completed,81,86,88
male,group C,some college,standard,completed,68,69,69
male,group B,some high school,standard,completed,73,67,67
male,group E,high school,free/reduced,none,49,47,34
female,group D,associate's degree,standard,none,51,54,55
female,group C,some college,standard,none,71,69,67
male,group B,master's degree,free/reduced,none,36,40,40
male,group C,high school,standard,none,68,65,64
male,group D,bachelor's degree,standard,none,69,63,64
male,group D,high school,free/reduced,completed,74,77,74
female,group C,some college,standard,none,62,65,64
male,group B,master's degree,standard,completed,57,60,60
female,group D,associate's degree,standard,none,52,63,65
male,group C,some college,free/reduced,none,34,36,36
female,group C,associate's degree,free/reduced,completed,50,72,71
male,group E,associate's degree,standard,completed,100,100,100
female,group D,some high school,standard,completed,81,91,91
female,group B,bachelor's degree,free/reduced,none,60,68,65
female,group C,high school,standard,none,45,59,58
male,group C,bachelor's degree,free/reduced,none,21,17,21
male,group D,high school,standard,completed,62,61,66
female,group C,some college,standard,none,59,70,69
male,group C,high school,standard,completed,90,94,85
female,group C,some high school,standard,none,68,77,77
male,group C,some college,standard,none,75,76,72
male,group B,bachelor's degree,standard,none,55,57,51
male,group B,high school,standard,completed,79,81,83
female,group C,some college,standard,none,73,77,77
male,group D,high school,standard,none,44,29,33
male,group C,some college,standard,none,69,66,61
male,group D,associate's degree,standard,completed,67,65,69
male,group E,high school,free/reduced,none,68,67,66
female,group E,high school,standard,completed,65,71,70
male,group E,associate's degree,standard,none,74,65,67
male,group C,some high school,free/reduced,none,43,44,43
female,group D,some high school,standard,none,83,85,89
female,group D,associate's degree,free/reduced,completed,61,73,73
male,group D,high school,standard,completed,89,93,96
female,group B,associate's degree,free/reduced,none,42,49,46
female,group E,some college,free/reduced,none,79,86,85
male,group D,some high school,standard,none,66,54,54
female,group B,high school,free/reduced,none,30,43,37
male,group B,some college,standard,none,63,61,58
female,group B,associate's degree,standard,none,69,91,83
male,group C,some college,standard,completed,74,69,74
male,group B,some college,standard,none,75,77,73
male,group D,bachelor's degree,free/reduced,completed,61,50,54
female,group C,high school,free/reduced,none,58,71,61
male,group D,high school,standard,none,47,47,38
female,group E,some high school,free/reduced,none,57,68,59
female,group A,high school,standard,none,31,35,40
female,group B,some college,standard,none,69,77,75
female,group C,associate's degree,free/reduced,none,78,83,77
female,group C,associate's degree,standard,completed,95,100,100
female,group C,bachelor's degree,standard,none,77,93,95
male,group D,some high school,standard,none,68,67,57
male,group E,high school,standard,completed,73,71,71
female,group C,high school,free/reduced,none,43,56,53
male,group C,associate's degree,standard,none,68,62,56
male,group A,associate's degree,standard,none,81,81,78
female,group D,bachelor's degree,standard,none,59,69,77
female,group B,some college,free/reduced,none,69,80,81
male,group B,some high school,standard,completed,69,63,69
male,group D,high school,free/reduced,completed,58,57,57
female,group D,some high school,standard,completed,79,92,97
male,group B,some high school,standard,none,80,62,60
male,group C,high school,standard,completed,71,75,74
female,group A,associate's degree,standard,completed,70,78,79
male,group A,some high school,standard,none,66,64,65
female,group B,associate's degree,standard,completed,94,97,100
female,group D,some high school,standard,completed,63,65,69
male,group D,associate's degree,standard,completed,88,80,81
male,group D,high school,standard,none,65,58,58
male,group D,some high school,standard,completed,89,77,86
male,group D,some college,standard,completed,64,57,62
female,group A,some college,free/reduced,completed,61,68,69
male,group B,master's degree,standard,none,54,57,52
male,group C,associate's degree,standard,none,77,66,69
female,group C,master's degree,standard,none,65,72,68
female,group D,bachelor's degree,standard,completed,98,98,100
female,group C,high school,standard,none,94,85,88
male,group D,some college,standard,none,66,70,67
male,group B,associate's degree,standard,completed,100,95,89
female,group C,some college,standard,none,66,68,70
male,group D,some college,free/reduced,none,54,62,61
female,group D,some high school,free/reduced,completed,44,59,64
female,group D,high school,free/reduced,none,68,78,83
female,group C,associate's degree,free/reduced,none,54,76,74
male,group B,some high school,free/reduced,none,37,41,34
female,group D,associate's degree,free/reduced,none,48,56,55
male,group A,high school,standard,completed,62,58,59
male,group C,associate's degree,free/reduced,none,51,50,53
female,group C,high school,standard,none,57,62,59
male,group B,some high school,standard,none,43,41,35
female,group C,some college,free/reduced,completed,83,97,94
female,group A,some college,standard,none,54,69,67
male,group D,some high school,standard,none,61,60,62
male,group C,some college,standard,completed,73,83,77
female,group C,some college,free/reduced,none,60,66,63
male,group A,high school,standard,completed,54,62,63
female,group D,high school,free/reduced,completed,76,82,84
female,group C,high school,standard,none,63,77,74
female,group C,some college,free/reduced,none,49,65,64
female,group D,master's degree,free/reduced,none,58,77,71
male,group D,master's degree,standard,none,74,65,69
female,group E,some college,free/reduced,none,54,64,58
female,group B,some high school,standard,completed,64,75,76
male,group D,some high school,free/reduced,completed,52,51,50
female,group B,some high school,free/reduced,none,49,64,65
female,group C,bachelor's degree,standard,none,48,61,62
male,group E,high school,standard,none,79,71,66
male,group A,some college,standard,none,72,64,56
male,group B,high school,standard,none,56,54,49
male,group C,bachelor's degree,standard,completed,79,67,74
male,group B,some college,standard,completed,73,74,70
female,group B,associate's degree,free/reduced,completed,59,78,75
female,group C,some college,standard,completed,75,91,81
male,group B,high school,standard,completed,60,60,57
male,group D,some high school,standard,completed,64,52,56
male,group B,bachelor's degree,standard,none,78,80,66
male,group E,some college,standard,none,83,69,63
male,group C,high school,standard,none,61,45,49
male,group D,associate's degree,standard,completed,86,85,92
female,group D,some college,standard,completed,61,74,82
female,group E,high school,standard,none,90,91,90
female,group D,some college,free/reduced,completed,68,80,76
female,group D,high school,standard,none,70,79,73
male,group D,master's degree,standard,completed,82,88,88
male,group B,high school,standard,completed,62,54,57
male,group C,associate's degree,standard,none,83,78,79
male,group E,associate's degree,standard,none,83,65,66
male,group D,some college,standard,none,80,73,74
female,group B,some college,standard,none,58,68,61
male,group D,associate's degree,standard,none,77,70,66
male,group C,associate's degree,free/reduced,none,71,70,68
female,group A,some college,standard,none,61,65,64
male,group E,bachelor's degree,standard,completed,65,57,63
male,group E,some college,standard,none,78,70,60
male,group C,associate's degree,standard,completed,79,73,78
female,group B,associate's degree,standard,completed,37,43,51
male,group C,associate's degree,free/reduced,none,45,60,47
male,group A,associate's degree,free/reduced,none,56,53,54
female,group D,some high school,free/reduced,none,38,45,46
male,group D,bachelor's degree,free/reduced,completed,84,83,75
female,group C,some college,free/reduced,none,52,66,61
female,group C,some high school,free/reduced,none,47,71,60
male,group C,some high school,free/reduced,completed,55,59,59
female,group B,high school,free/reduced,none,26,33,36
female,group D,some college,standard,none,55,58,60
female,group B,associate's degree,free/reduced,completed,52,71,61
male,group C,high school,standard,none,78,66,66
female,group C,bachelor's degree,standard,completed,58,73,74
male,group E,bachelor's degree,standard,none,71,74,70
male,group D,high school,free/reduced,none,54,61,58
male,group C,bachelor's degree,standard,none,67,56,51
female,group C,some high school,standard,none,66,70,74
male,group A,some high school,free/reduced,none,65,62,60
female,group D,some high school,free/reduced,none,56,83,80
male,group C,high school,standard,completed,64,62,59
female,group E,bachelor's degree,standard,none,97,100,100
male,group C,high school,standard,none,70,63,60
female,group C,master's degree,free/reduced,completed,62,86,85
female,group D,some high school,free/reduced,none,36,41,48
male,group D,high school,free/reduced,completed,76,70,69
male,group C,associate's degree,standard,none,48,52,44
male,group B,high school,free/reduced,none,59,56,56
female,group B,some college,standard,none,58,53,63
male,group A,some college,free/reduced,completed,66,72,71
male,group C,some high school,standard,none,67,57,50
female,group C,some high school,standard,completed,64,73,72
male,group E,high school,standard,completed,53,54,50
female,group D,bachelor's degree,standard,none,57,58,62
male,group B,some high school,standard,none,69,67,65
female,group C,some college,standard,none,71,74,79
male,group A,some college,standard,none,82,85,82
female,group B,associate's degree,standard,none,44,44,46
female,group E,associate's degree,standard,none,86,79,79
male,group D,some college,standard,none,82,71,72
male,group E,high school,standard,completed,84,76,78
female,group D,some high school,standard,none,42,48,53
male,group D,high school,standard,none,71,69,59
female,group B,some college,free/reduced,completed,75,92,83
female,group D,associate's degree,free/reduced,completed,58,75,71
male,group C,some college,standard,none,73,69,64
female,group D,associate's degree,standard,none,72,86,89
female,group B,associate's degree,standard,none,64,70,67
male,group C,high school,standard,none,54,57,56
male,group B,high school,free/reduced,none,47,46,41
male,group E,high school,standard,none,93,85,86
female,group C,some high school,standard,none,62,64,60
male,group A,associate's degree,free/reduced,none,50,41,35
male,group C,bachelor's degree,standard,none,64,65,64
female,group C,some high school,standard,none,59,67,59
male,group D,some college,standard,none,80,82,88
male,group C,master's degree,standard,completed,84,90,88
male,group B,master's degree,free/reduced,none,63,63,57
male,group B,some college,standard,none,53,43,44
male,group D,bachelor's degree,standard,none,92,86,87
male,group A,some high school,standard,none,65,63,51
female,group D,associate's degree,standard,none,85,89,96
female,group C,some high school,standard,none,46,47,52
male,group D,bachelor's degree,standard,completed,58,49,54
male,group B,associate's degree,standard,none,56,49,41
male,group D,some high school,standard,none,86,88,87
male,group D,some college,free/reduced,completed,80,73,77
female,group E,some high school,standard,none,66,72,67
female,group B,some high school,standard,none,43,54,48
female,group A,some college,standard,none,42,57,56
male,group B,some high school,standard,completed,81,74,66
female,group E,high school,standard,none,78,75,77
male,group C,associate's degree,standard,none,68,66,62
male,group E,associate's degree,standard,completed,91,92,89
male,group C,some high school,standard,none,68,61,59
male,group E,associate's degree,standard,none,81,76,71
female,group D,high school,standard,none,70,73,73
female,group D,some college,standard,none,74,77,81
male,group A,bachelor's degree,free/reduced,completed,72,67,68
male,group C,high school,free/reduced,none,55,43,42
female,group A,some college,standard,none,61,75,69
female,group C,some high school,free/reduced,none,61,75,81
male,group E,some college,free/reduced,completed,65,57,57
female,group D,associate's degree,standard,none,60,72,73
female,group B,high school,standard,none,83,89,83
female,group C,associate's degree,standard,completed,64,77,80
female,group D,associate's degree,standard,none,64,72,78
female,group C,high school,free/reduced,completed,60,70,70
male,group D,bachelor's degree,standard,none,78,74,79
female,group E,some college,free/reduced,completed,68,79,83
male,group C,associate's degree,standard,completed,58,58,58
female,group C,some high school,standard,completed,80,80,78
female,group C,high school,standard,completed,78,94,86
male,group B,associate's degree,standard,completed,63,63,61
female,group D,some college,standard,none,57,61,60
male,group E,high school,standard,completed,64,64,55
male,group D,associate's degree,standard,none,81,76,77
male,group E,some high school,free/reduced,completed,48,55,50
female,group C,some college,free/reduced,none,62,71,67
male,group C,master's degree,free/reduced,completed,76,71,68
male,group C,high school,standard,none,78,72,64
male,group B,associate's degree,free/reduced,none,61,63,62
male,group C,some high school,standard,none,78,60,57
female,group A,some high school,standard,none,30,48,44
female,group E,master's degree,free/reduced,none,65,73,72
male,group C,some high school,standard,none,43,51,54
male,group B,some college,free/reduced,none,79,75,63
male,group A,high school,standard,completed,54,66,54
female,group E,some college,standard,none,89,86,82
male,group B,associate's degree,free/reduced,none,51,52,49
male,group D,bachelor's degree,free/reduced,none,34,30,35
male,group D,some college,free/reduced,none,54,55,53
male,group D,some high school,standard,none,64,62,53
male,group C,some high school,free/reduced,none,37,45,37
male,group E,some high school,free/reduced,none,47,45,44
male,group D,some college,standard,none,53,47,41
female,group C,bachelor's degree,standard,none,73,71,72
male,group C,some high school,free/reduced,none,59,65,59
male,group C,high school,free/reduced,completed,56,60,60
male,group E,associate's degree,free/reduced,none,87,87,83
female,group D,associate's degree,standard,completed,99,100,100
male,group C,some college,standard,completed,86,85,82
male,group C,some college,standard,none,74,70,65
female,group B,some high school,standard,none,36,58,54
female,group D,bachelor's degree,standard,none,70,80,81
male,group A,some college,standard,none,75,72,70
female,group E,some college,standard,none,80,74,74
female,group C,high school,standard,none,36,50,49
male,group A,associate's degree,standard,none,64,76,70
male,group C,master's degree,free/reduced,completed,62,63,62
female,group D,some high school,standard,none,70,73,72
male,group B,some high school,standard,none,73,60,64
male,group D,some high school,standard,none,72,63,66
female,group C,associate's degree,standard,none,71,88,82
male,group E,some high school,free/reduced,none,69,56,46
female,group A,some high school,standard,none,55,60,59
male,group D,master's degree,standard,none,69,67,67
female,group D,high school,free/reduced,none,62,79,68
male,group C,high school,free/reduced,none,70,68,64
female,group B,some high school,free/reduced,completed,49,57,64
female,group D,master's degree,standard,none,67,72,71
female,group E,high school,standard,none,64,76,72
male,group E,associate's degree,standard,none,80,71,68
male,group C,some college,standard,none,72,64,63
female,group C,high school,standard,completed,69,84,85
male,group D,master's degree,free/reduced,none,60,56,53
male,group C,associate's degree,free/reduced,completed,57,58,61
male,group C,some college,free/reduced,none,80,83,82
female,group E,some college,standard,none,72,65,66
male,group C,bachelor's degree,free/reduced,completed,59,56,62
male,group C,some high school,standard,none,65,59,61
male,group E,associate's degree,standard,none,95,72,78
female,group E,associate's degree,standard,none,66,62,70
male,group C,some high school,standard,none,77,77,72
female,group C,associate's degree,standard,none,83,94,92
male,group A,some college,standard,none,54,48,51
male,group A,associate's degree,standard,none,58,56,51
male,group D,high school,standard,completed,83,76,78
male,group C,some college,standard,none,67,66,60
male,group D,master's degree,free/reduced,none,66,62,61
male,group D,some college,free/reduced,completed,70,75,80
female,group C,some college,free/reduced,none,31,44,46
male,group D,associate's degree,free/reduced,none,48,54,53
female,group D,some college,free/reduced,none,74,86,84
male,group E,associate's degree,free/reduced,none,56,49,42
male,group B,associate's degree,standard,none,80,85,80
female,group E,associate's degree,free/reduced,none,44,49,50
female,group B,some college,standard,none,61,65,61
female,group C,some high school,standard,completed,72,70,77
male,group C,some high school,free/reduced,none,35,32,27
female,group C,some high school,standard,completed,75,94,91
female,group B,associate's degree,free/reduced,none,23,54,53
male,group D,bachelor's degree,free/reduced,completed,46,46,51
female,group D,associate's degree,standard,none,60,62,61
female,group C,master's degree,standard,none,64,83,77
male,group E,some college,standard,none,84,83,80
female,group B,high school,free/reduced,completed,36,49,50
male,group D,high school,free/reduced,completed,81,75,77
female,group B,some high school,free/reduced,none,59,66,63
female,group D,some college,free/reduced,none,47,60,66
female,group C,bachelor's degree,standard,none,58,72,66
male,group B,some college,standard,none,56,62,56
male,group B,master's degree,free/reduced,completed,69,69,69
female,group E,associate's degree,standard,completed,65,61,71
female,group D,some college,free/reduced,none,67,69,69
female,group C,some college,standard,completed,75,77,83
male,group E,master's degree,standard,none,97,92,93
male,group D,high school,standard,none,67,57,61
male,group C,some college,free/reduced,completed,73,62,63
female,group E,some college,standard,none,80,78,80
female,group D,some college,free/reduced,completed,87,96,100
female,group B,associate's degree,standard,completed,72,81,84
male,group C,high school,free/reduced,none,53,46,37
female,group A,master's degree,standard,completed,100,100,100
male,group C,some high school,free/reduced,none,56,51,48
male,group C,some high school,standard,none,50,36,33
female,group A,some college,standard,completed,64,78,76
male,group D,associate's degree,free/reduced,none,82,83,78
male,group C,some high school,free/reduced,none,44,51,37
male,group B,bachelor's degree,free/reduced,none,67,74,69
female,group D,bachelor's degree,standard,completed,65,83,84
male,group C,some college,standard,none,81,71,70
male,group D,some college,free/reduced,none,57,48,52
male,group D,high school,free/reduced,completed,66,66,72
female,group E,some college,standard,none,72,76,78
male,group B,associate's degree,free/reduced,none,41,54,38
female,group E,some high school,standard,completed,80,77,85
male,group E,high school,free/reduced,completed,79,68,67
female,group C,some college,standard,none,77,84,83
female,group B,some college,standard,completed,83,90,88
female,group D,high school,standard,none,75,81,85
female,group C,bachelor's degree,standard,none,88,92,88
female,group D,high school,standard,completed,41,51,53
female,group D,some high school,free/reduced,completed,60,77,79
female,group C,some high school,standard,none,61,67,66
male,group D,some high school,standard,none,65,51,58
female,group C,some high school,standard,none,60,65,62
female,group A,some college,free/reduced,none,36,58,52
female,group E,associate's degree,standard,none,57,51,53
male,group B,some college,standard,none,92,80,79
male,group D,associate's degree,standard,none,67,63,57
male,group B,some high school,standard,completed,84,73,74
male,group D,some high school,free/reduced,completed,67,69,68
male,group C,bachelor's degree,free/reduced,completed,45,42,48
female,group A,associate's degree,free/reduced,completed,56,72,72
female,group D,some high school,standard,completed,80,87,92
female,group C,associate's degree,free/reduced,completed,67,81,89
male,group D,some high school,free/reduced,none,45,50,48
female,group C,some high school,free/reduced,none,48,71,66
female,group B,some high school,standard,completed,49,60,60
female,group C,some college,standard,none,82,88,85
female,group C,bachelor's degree,standard,none,76,86,90
female,group A,some college,standard,completed,62,69,71
male,group C,master's degree,standard,none,68,65,67
female,group E,some high school,free/reduced,completed,51,62,68
male,group C,bachelor's degree,free/reduced,none,71,73,74
female,group C,some college,standard,none,56,63,60
female,group C,some college,standard,none,36,44,48
female,group C,some high school,standard,none,63,77,73
male,group B,master's degree,standard,none,71,74,67
female,group E,master's degree,standard,none,64,68,65
female,group C,high school,standard,none,44,59,50
female,group E,associate's degree,standard,completed,72,74,71
male,group C,associate's degree,free/reduced,none,52,62,50
male,group E,bachelor's degree,standard,completed,100,100,100
female,group B,some high school,free/reduced,completed,66,82,81
female,group B,associate's degree,standard,completed,88,93,98
male,group D,some college,standard,none,66,61,57
male,group E,master's degree,standard,none,77,69,72
male,group C,master's degree,free/reduced,none,71,74,64
female,group E,high school,standard,completed,62,65,67
male,group D,some college,standard,none,77,78,72
female,group D,some college,standard,none,65,65,67
female,group D,high school,standard,none,43,51,47
male,group E,high school,free/reduced,none,39,52,47
female,group E,some college,free/reduced,none,69,79,74
female,group B,high school,standard,none,80,91,84
female,group B,bachelor's degree,free/reduced,none,80,81,79
male,group D,some high school,free/reduced,completed,61,68,67
female,group A,some high school,free/reduced,none,33,50,45
male,group D,some college,free/reduced,none,58,72,70
male,group B,associate's degree,standard,none,71,77,71
male,group E,some college,free/reduced,none,89,79,70
female,group E,bachelor's degree,standard,completed,100,100,100
male,group C,some high school,standard,completed,71,71,72
male,group C,associate's degree,standard,completed,66,76,74
male,group B,some high school,standard,none,59,58,58
female,group B,high school,standard,none,45,65,62
female,group A,some college,standard,none,77,83,80
male,group D,high school,free/reduced,none,66,65,62
male,group D,some high school,free/reduced,none,56,67,57
male,group C,associate's degree,standard,completed,85,74,81
female,group B,some college,standard,completed,59,78,79
male,group D,bachelor's degree,standard,completed,85,88,93
female,group D,bachelor's degree,standard,none,95,90,91
female,group E,some college,standard,none,72,74,79
female,group C,some college,standard,none,62,73,73
female,group C,master's degree,standard,completed,75,79,85
female,group D,high school,standard,completed,66,80,82
male,group D,some high school,standard,completed,62,48,55
male,group C,some college,standard,none,81,78,70
male,group C,high school,standard,none,71,74,61
female,group C,bachelor's degree,standard,none,84,88,89
female,group B,some college,standard,none,65,66,67
female,group C,associate's degree,standard,completed,65,79,77
male,group C,bachelor's degree,standard,none,96,77,81
female,group A,associate's degree,standard,none,67,80,75
female,group D,high school,standard,none,63,68,70
female,group C,some high school,standard,none,79,82,79
male,group C,some college,standard,none,70,59,60
male,group D,associate's degree,standard,none,82,77,76
male,group E,bachelor's degree,free/reduced,completed,96,76,80
male,group D,high school,free/reduced,completed,51,50,52
male,group D,associate's degree,standard,completed,87,87,94
female,group C,master's degree,standard,none,78,91,87
female,group A,associate's degree,standard,none,61,72,71
female,group D,some college,standard,none,93,93,95
male,group D,associate's degree,free/reduced,none,47,45,49
male,group E,associate's degree,free/reduced,completed,49,53,52
male,group E,some college,standard,none,81,72,70
female,group B,high school,standard,none,58,70,72
male,group B,some college,standard,none,70,59,62
male,group D,some high school,standard,none,93,82,80
male,group D,bachelor's degree,standard,none,81,88,84
male,group C,associate's degree,standard,completed,98,97,88
male,group A,some high school,standard,none,60,51,49
male,group A,associate's degree,standard,completed,56,47,53
female,group C,some college,free/reduced,none,36,49,55
female,group D,associate's degree,standard,completed,96,93,100
female,group C,high school,standard,completed,65,72,74
male,group C,high school,standard,none,53,53,48
male,group D,some high school,free/reduced,none,55,50,51
male,group B,high school,standard,completed,88,77,75
male,group C,high school,free/reduced,none,63,72,63
